feature,coef,modality,abs_coef
text__aaron,0.6439065252195204,text,0.6439065252195204
text__abstract,-0.4392914376354944,text,0.4392914376354944
text__academy,-0.30076260290105034,text,0.30076260290105034
text__access,0.27776969129923956,text,0.27776969129923956
text__accessories,-0.021264703338083737,text,0.021264703338083737
text__accessory,-0.29448105416183373,text,0.29448105416183373
text__acoustic,0.5050098061494075,text,0.5050098061494075
text__acrylic,0.2733734519040868,text,0.2733734519040868
text__act,0.4658715633741847,text,0.4658715633741847
text__action,0.06910386781681403,text,0.06910386781681403
text__active,0.3198697826600659,text,0.3198697826600659
text__ad,0.17294882318812319,text,0.17294882318812319
text__adam,0.29190245868439985,text,0.29190245868439985
text__adapter,0.42280481918608415,text,0.42280481918608415
text__add,0.07050570612841343,text,0.07050570612841343
text__addiction,-0.4343451203377306,text,0.4343451203377306
text__adjustable,0.2079310536818389,text,0.2079310536818389
text__adult,-0.25812454734155177,text,0.25812454734155177
text__adults,0.5378996220260517,text,0.5378996220260517
text__advanced,1.0254108557680073,text,1.0254108557680073
text__adventure,0.5257804571560751,text,0.5257804571560751
text__adventures,-0.2362897286939443,text,0.2362897286939443
text__aerial,-0.2743233546927739,text,0.2743233546927739
text__affordable,0.21272718408209612,text,0.21272718408209612
text__africa,-0.07154834990735243,text,0.07154834990735243
text__african,-0.2827235194279604,text,0.2827235194279604
text__age,-0.06911162000541413,text,0.06911162000541413
text__agent,-0.08124413865047904,text,0.08124413865047904
text__ages,0.535268066032026,text,0.535268066032026
text__aid,-0.6686061663504075,text,0.6686061663504075
text__air,0.4541293479722894,text,0.4541293479722894
text__aka,-0.16578015086998055,text,0.16578015086998055
text__al,0.362597811726451,text,0.362597811726451
text__alaska,0.5928168963744531,text,0.5928168963744531
text__album,0.7846154094411115,text,0.7846154094411115
text__albums,0.27203107875290267,text,0.27203107875290267
text__alex,0.34159224871647914,text,0.34159224871647914
text__alexander,0.301693832532492,text,0.301693832532492
text__alice,0.4460816029563387,text,0.4460816029563387
text__alien,-0.5762420746724646,text,0.5762420746724646
text__alive,-0.07925953494940319,text,0.07925953494940319
text__alpha,-0.5363182738613195,text,0.5363182738613195
text__alphabet,0.4937707491590234,text,0.4937707491590234
text__alternative,0.3388297121033059,text,0.3388297121033059
text__aluminum,0.23136049126897285,text,0.23136049126897285
text__amazing,-0.432317196152964,text,0.432317196152964
text__amazon,0.3322143407344929,text,0.3322143407344929
text__america,-0.3803245800276406,text,0.3803245800276406
text__american,0.016386927165600643,text,0.016386927165600643
text__amy,1.5058599085887914,text,1.5058599085887914
text__analog,0.336805781380289,text,0.336805781380289
text__ancient,0.21500320456877445,text,0.21500320456877445
text__andrew,0.608415123306082,text,0.608415123306082
text__android,0.18169337076593953,text,0.18169337076593953
text__andy,0.4605864105960781,text,0.4605864105960781
text__angel,-0.45710282564454563,text,0.45710282564454563
text__angeles,-0.19536057871207146,text,0.19536057871207146
text__angels,-0.26543450782303024,text,0.26543450782303024
text__animal,0.2574019390738317,text,0.2574019390738317
text__animals,0.30737582670177815,text,0.30737582670177815
text__animated,0.3997396375767962,text,0.3997396375767962
text__animation,0.12191019172011976,text,0.12191019172011976
text__anime,0.138105162477843,text,0.138105162477843
text__anna,1.2226776587820682,text,1.2226776587820682
text__anniversary,0.6894955994035598,text,0.6894955994035598
text__annual,0.6576694901513872,text,0.6576694901513872
text__anthology,1.3639108319165734,text,1.3639108319165734
text__anthony,-0.24105691247151287,text,0.24105691247151287
text__anti,0.06001189396896335,text,0.06001189396896335
text__apocalypse,-0.01663892256334095,text,0.01663892256334095
text__apocalyptic,0.015180553049764508,text,0.015180553049764508
text__app,-0.4759939780549003,text,0.4759939780549003
text__apparel,-0.6204303915506518,text,0.6204303915506518
text__apple,-0.16535411027505528,text,0.16535411027505528
text__application,-0.5476333973285568,text,0.5476333973285568
text__apps,0.7504730922037183,text,0.7504730922037183
text__aquaponics,-0.574367096091629,text,0.574367096091629
text__arcade,0.30485207045014023,text,0.30485207045014023
text__architecture,1.0510159878089103,text,1.0510159878089103
text__archive,1.397703076917788,text,1.397703076917788
text__arctic,2.099050307098554,text,2.099050307098554
text__arduino,0.6815939259483387,text,0.6815939259483387
text__area,0.0016133192944829356,text,0.0016133192944829356
text__arena,-0.5211381413269981,text,0.5211381413269981
text__arm,0.28666307028996263,text,0.28666307028996263
text__army,-0.6831604876521339,text,0.6831604876521339
text__art,-0.11835676041993622,text,0.11835676041993622
text__artbook,1.027870283511518,text,1.027870283511518
text__artisan,0.7434287488668199,text,0.7434287488668199
text__artist,-0.549465324265727,text,0.549465324265727
text__artistic,-0.6948440506016155,text,0.6948440506016155
text__artists,0.20223996931375984,text,0.20223996931375984
text__arts,-0.08792772553481608,text,0.08792772553481608
text__artwork,-0.46240456322837603,text,0.46240456322837603
text__ashes,-0.47162995106713457,text,0.47162995106713457
text__asian,0.4872178633999455,text,0.4872178633999455
text__ass,-0.4057229179095365,text,0.4057229179095365
text__athletic,0.3244701222005394,text,0.3244701222005394
text__atlanta,-0.4042202333994816,text,0.4042202333994816
text__atlas,1.1539352276692827,text,1.1539352276692827
text__attack,-0.009894664055488465,text,0.009894664055488465
text__audio,-0.32765439452598966,text,0.32765439452598966
text__audiobook,0.2273370275044381,text,0.2273370275044381
text__augmented,0.9302901070373535,text,0.9302901070373535
text__austin,0.33194267996499105,text,0.33194267996499105
text__australia,-0.02693181315471377,text,0.02693181315471377
text__australian,-0.5663099367494537,text,0.5663099367494537
text__authentic,0.22926507415712083,text,0.22926507415712083
text__author,-0.37002581951210795,text,0.37002581951210795
text__autism,-0.1860281054530388,text,0.1860281054530388
text__auto,0.15792523761883542,text,0.15792523761883542
text__automatic,0.5048526906036339,text,0.5048526906036339
text__autumn,-0.01791073891054107,text,0.01791073891054107
text__awakening,-0.2928789186255358,text,0.2928789186255358
text__award,0.14520503973826407,text,0.14520503973826407
