threshold,accuracy,precision,recall,f1
0.2,0.5349,0.4629,0.9458,0.6216
0.21,0.5438,0.4677,0.9382,0.6242
0.22,0.5515,0.472,0.9293,0.626
0.23,0.5598,0.4767,0.9204,0.6281
0.24,0.5687,0.482,0.9111,0.6305
0.25,0.5779,0.4878,0.9006,0.6328
0.26,0.587,0.4937,0.8895,0.635
0.27,0.5959,0.4999,0.8787,0.6372
0.28,0.603,0.5049,0.8662,0.638
0.29,0.6113,0.5112,0.8549,0.6398
0.3,0.6189,0.5173,0.8422,0.6409
0.31,0.6262,0.5235,0.8296,0.6419
0.32,0.6331,0.5297,0.816,0.6424
0.33,0.6391,0.5355,0.8018,0.6422
0.34,0.645,0.5416,0.7866,0.6415
0.35,0.6497,0.5471,0.7707,0.64
0.36,0.6545,0.553,0.7546,0.6383
0.37,0.6594,0.5593,0.7384,0.6365
0.38,0.6639,0.5656,0.7238,0.635
0.39,0.6673,0.5711,0.7074,0.632
0.4,0.6705,0.5771,0.6894,0.6282
0.41,0.6742,0.5838,0.6731,0.6253
0.42,0.6772,0.5904,0.6556,0.6213
0.43,0.6799,0.597,0.6383,0.617
0.44,0.6824,0.604,0.6204,0.6121
0.45,0.6841,0.6103,0.6025,0.6064
0.46,0.6862,0.6178,0.5845,0.6007
0.47,0.6877,0.6249,0.5672,0.5946
0.48,0.6888,0.6316,0.5506,0.5883
0.49,0.6899,0.6392,0.5332,0.5814
0.5,0.6898,0.6454,0.5149,0.5728
0.51,0.69,0.6524,0.4977,0.5646
0.52,0.6899,0.6596,0.48,0.5557
0.53,0.6893,0.6657,0.4632,0.5463
0.54,0.6882,0.6718,0.4455,0.5357
0.55,0.6868,0.6779,0.4277,0.5245
0.56,0.6851,0.684,0.4093,0.5121
0.57,0.6834,0.6902,0.3921,0.5001
0.58,0.6799,0.6929,0.3726,0.4846
0.59,0.6785,0.7011,0.3556,0.4718
0.6,0.6763,0.7071,0.3389,0.4582
0.61,0.6737,0.7125,0.3222,0.4437
0.62,0.671,0.7192,0.3043,0.4276
0.63,0.6681,0.7254,0.2868,0.411
0.64,0.6649,0.7321,0.2686,0.393
0.65,0.6618,0.7384,0.2519,0.3757
0.66,0.6587,0.7454,0.2355,0.3579
0.67,0.6551,0.7504,0.2189,0.3389
0.68,0.6521,0.7603,0.2023,0.3195
0.69,0.6484,0.7659,0.1864,0.2998
0.7,0.645,0.773,0.1711,0.2802
0.71,0.641,0.777,0.1558,0.2595
0.72,0.6382,0.7863,0.1431,0.2421
0.73,0.634,0.7873,0.1286,0.2211
0.74,0.6301,0.7898,0.1144,0.1999
0.75,0.6262,0.79,0.1015,0.1799
0.76,0.6234,0.7997,0.0899,0.1617
0.77,0.6207,0.8089,0.0798,0.1453
0.78,0.6183,0.8191,0.0703,0.1295
0.79,0.6158,0.8256,0.0618,0.115
0.8,0.613,0.8295,0.0526,0.0989
