feature,coef,block
text__abstract,-1.1377581979193185,text
text__academy,-0.430940302819584,text
text__access,0.10570450855710478,text
text__accessories,-0.3941786807493282,text
text__accessory,-0.4948672121541159,text
text__acoustic,0.2556050246690996,text
text__acrylic,-0.18297570515165398,text
text__act,0.4159444253588985,text
text__action,-0.2644944519836282,text
text__active,0.12816216007304054,text
text__ad,0.24944670802382207,text
text__adam,0.22138829313715094,text
text__adapter,0.09662935632944662,text
text__add,-0.07643694125847181,text
text__addiction,-0.9356679119911046,text
text__adjustable,0.040163314343722264,text
text__adult,-0.46573321288276803,text
text__adults,0.046273163016065905,text
text__advanced,0.7398401465870623,text
text__adventure,0.12028290630906327,text
text__adventures,-0.7030753576174628,text
text__aerial,-0.03207179912766733,text
text__affordable,0.09777947534610872,text
text__africa,-0.3326357168905826,text
text__african,-0.48299752458630896,text
text__age,-0.2003505269340302,text
text__agent,-0.47493658533124716,text
text__ages,-0.04055558862924812,text
text__aid,-0.9114898987497204,text
text__air,0.246348257623142,text
text__aka,-0.6314632517892549,text
text__al,0.11988629036776621,text
text__alarm,-0.5329704640370256,text
text__alaska,0.4091189575102881,text
text__album,0.6041034191735951,text
text__alex,0.3509142134363821,text
text__alexander,0.08879698678218842,text
text__alice,0.4470877713561285,text
text__alien,-0.8790593486862988,text
text__alive,-0.2149262805345154,text
text__alpha,-0.5375402586351392,text
text__alphabet,0.3796289728861641,text
text__alternative,0.029013457526255775,text
text__aluminum,-0.16325630145953254,text
text__amazing,-0.9126257055440914,text
text__amazon,0.10562053086608413,text
text__america,-0.5951738112557352,text
text__american,-0.22602295451276708,text
text__amy,1.4950462371422881,text
text__analog,-0.09434716358343881,text
text__ancient,-0.06644930972537066,text
text__andrew,0.3860726293341066,text
text__android,-0.3590533012326372,text
text__andy,0.3101149465981664,text
text__angel,-0.6091292055526879,text
text__angeles,-0.29869341099719837,text
text__angels,-0.5616848435173447,text
text__animal,0.01896044394659767,text
text__animals,0.006272973016765912,text
text__animated,0.20011700632133905,text
text__animation,-0.24140144976269462,text
text__anime,-0.052595314952305225,text
text__anna,1.1277407499232244,text
text__anniversary,0.4753130532871634,text
text__annual,0.4450789452057025,text
text__anthology,1.2761425611196047,text
text__anthony,-0.6418454923687383,text
text__anti,-0.10184281000825438,text
text__apocalypse,-0.28989941199049146,text
text__apocalyptic,-0.3145245629309683,text
text__app,-0.6715773840239844,text
text__apparel,-0.6791299613388578,text
text__apple,-0.3727714266053346,text
text__application,-0.964401745831824,text
text__apps,0.5595670186289664,text
text__arcade,0.02062156221295634,text
text__architecture,0.8229641496653791,text
text__archive,1.1062358413703524,text
text__arctic,2.09827085055413,text
text__arduino,0.4537292858549871,text
text__area,0.005826719381737543,text
text__arena,-0.6837622575873402,text
text__arm,-0.05939486375212967,text
text__arms,-0.18277191036816548,text
text__army,-1.070906979987906,text
text__art,-0.34590592735572884,text
text__artbook,1.197610348288444,text
text__artisan,0.7305052186912707,text
text__artist,-0.8721607489454984,text
text__artistic,-1.4797758890546255,text
text__artists,-0.02630354714974642,text
text__arts,-0.43873868929865106,text
text__artwork,-1.0252038536768313,text
text__asian,0.7250147014661213,text
text__ass,-0.9014577968876611,text
text__athletic,0.23639218076854185,text
text__atlanta,-0.6690692709841431,text
text__atlas,1.479690565796471,text
text__attack,-0.08661773606041372,text
text__audio,-0.88184448827988,text
text__audiobook,-0.13461508203920314,text
text__augmented,1.0052755691091766,text
text__austin,0.19287641922487223,text
text__australia,-0.025919191137470543,text
text__australian,-0.4342071483064019,text
